w,gap
0.23,-1.43
0.01,4.33
0.00,4.07
0.18,2.36
0.01,1.12
0.20,-1.08
0.00,4.60
0.00,7.97
0.16,0.59
0.00,3.23
0.03,5.66
0.00,13.22
0.00,4.68
0.09,0.66
0.04,4.70
0.41,-0.62
0.00,4.82
0.05,1.25
0.00,15.81
0.03,5.87
0.07,8.52
0.02,1.16
0.06,1.55
0.04,3.63
0.09,-1.61
0.45,-0.80
0.03,5.38
0.16,4.29
0.13,4.73
0.02,6.04
0.35,-0.95
0.37,-0.94
0.17,-1.16
0.09,6.00
0.40,-0.60
0.44,-0.81
0.00,10.28
0.00,5.59
0.23,-1.47
0.04,2.79
0.00,9.43
0.00,3.78
0.00,5.10
0.00,5.93
0.02,11.48
0.02,10.70
0.21,1.11
0.04,7.70
0.39,-0.91
0.03,4.80
0.02,2.75
0.10,6.87
0.43,-0.85
0.02,3.01
0.19,-1.21
0.05,4.78
0.03,5.11
0.00,7.31
0.00,1.09
0.04,2.71
0.25,-0.91
0.06,3.78
0.59,-0.51
0.09,-1.54
0.01,3.05
0.04,1.98
0.01,8.87
0.22,-1.39
0.00,4.91
0.10,2.77
0.00,12.40
0.01,3.78
0.88,0.52
0.54,0.95
0.57,-0.55
0.03,3.27
0.34,-1.07
0.00,3.11
0.00,5.41
0.07,3.80
0.31,-1.15
0.00,11.66
0.05,2.81
0.29,-1.24
0.06,2.63
0.02,1.11
0.05,5.42
0.49,-0.63
0.42,-0.78
0.17,-1.68
0.03,0.89
0.00,2.59
0.00,3.87
0.03,4.26
0.03,5.49
0.05,1.07
0.00,2.74
0.42,-0.84
0.00,4.82
0.04,7.41
0.16,-0.76
0.00,3.19
0.01,1.02
0.00,5.20
0.11,3.91
0.00,3.95
0.00,0.86
0.09,1.43
0.03,4.92
0.48,-0.72
0.01,2.83
0.33,-1.11
0.00,5.92
0.06,1.88
0.00,1.08
0.00,14.61
0.14,-1.19
0.02,7.03
0.05,15.66
0.02,4.23
0.04,5.09
0.02,1.40
0.02,1.11
0.12,2.68
0.14,-1.95
0.02,0.91
0.00,4.76
0.00,0.83
0.20,-1.20
0.00,1.11
0.04,7.65
0.80,0.84
0.01,2.67
0.05,4.10
0.07,3.43
0.27,-0.79
0.05,4.30
0.07,3.02
0.48,-0.64
0.00,5.40
0.14,-1.95
0.31,-0.89
0.07,4.47
0.01,1.28
0.03,3.18
